TransactionAmount,Location,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,AccountStatus,TransactionType,Channel,CustomerOccupation
14.089999999999975,Austin,70.0,81.0,1.0,5112.21,Normal,Debit,ATM,Doctor
376.24,Houston,68.0,141.0,1.0,13758.91,Normal,Debit,ATM,Doctor
126.28999999999999,Atlanta,19.0,56.0,1.0,1122.35,Normal,Debit,Online,Student
184.5,Austin,26.0,25.0,1.0,8569.06,Normal,Debit,Online,Student
13.449999999999989,Atlanta,26.0,198.0,1.0,7429.4,Normal,Credit,Online,Student
92.15,Charlotte,18.0,172.0,1.0,781.6800000000003,Normal,Debit,ATM,Student
7.079999999999984,Atlanta,37.0,139.0,1.0,13316.71,Normal,Credit,ATM,Doctor
171.42,New York,67.0,291.0,1.0,2796.24,Normal,Credit,Branch,Retired
106.23000000000002,Houston,51.0,86.0,1.0,9095.14,Normal,Credit,Branch,Engineer
815.96,Milwaukee,55.0,120.0,1.0,1021.8799999999997,Normal,Debit,ATM,Doctor
17.78000000000003,Albuquerque,52.0,59.0,1.0,7599.52,Normal,Credit,Online,Engineer
190.02000000000004,Houston,21.0,173.0,1.0,1528.81,Normal,Debit,Online,Student
494.52,Atlanta,24.0,111.0,1.0,1620.02,Normal,Credit,Branch,Student
781.76,Houston,26.0,123.0,1.0,189.6899999999996,Normal,Debit,ATM,Student
166.99,Louisville,18.0,134.0,1.0,299.9300000000003,Normal,Debit,Online,Student
465.45,Denver,36.0,129.0,1.0,3465.54,Normal,Debit,ATM,Engineer
555.8,Austin,19.0,158.0,1.0,1131.2600000000002,Normal,Credit,Branch,Student
492.93,Columbus,39.0,234.0,1.0,5109.97,Normal,Debit,Online,Engineer
18.680000000000007,Albuquerque,59.0,106.0,1.0,7948.37,Normal,Credit,Branch,Retired
71.47999999999999,Columbus,18.0,169.0,1.0,6568.59,Normal,Credit,Online,Student
59.31999999999999,Los Angeles,71.0,38.0,1.0,5750.89,Normal,Debit,Branch,Retired
85.76999999999998,Milwaukee,38.0,93.0,1.0,9146.19,Normal,Debit,Branch,Doctor
52.19999999999999,Atlanta,39.0,120.0,1.0,8974.93,Normal,Debit,Online,Engineer
345.84,Fort Worth,22.0,142.0,3.0,1402.5,Normal,Debit,Online,Student
145.54,Austin,21.0,96.0,1.0,1930.96,Normal,Debit,Online,Student
